336 : -3.52344
249 : -3.12767
297 : -138.976
267 : -2.83966
314 : -3.71585
293 : -3.31769
124 : -7.68025
286 : -2.61558
344 : -3.37202
174 : -1.88871
400 : -2.34922
154 : -2.12022
301 : -11.6008
251 : -4.41557
58 : -3.92896
14 : -6.82662
166 : -1.91339
201 : -5.53062
294 : -3.31086
83 : -3.83192
341 : -3.41485
349 : -3.37289
313 : -145.045
213 : -2.84621
17 : -3.54163
390 : -2.76928
250 : -3.08796
106 : -3.58383
10 : -12.4574
72 : -7.55387
98 : -8.8511
324 : -3.38367
198 : -3.48053
84 : -3.81152
292 : -3.31769
55 : -4.68297
204 : -3.9828
395 : -2.64792
61 : -4.59899
365 : -2.77466
139 : -2.47017
350 : -3.22329
178 : -1.93702
207 : -2.82271
181 : -1.83981
264 : -3.01367
252 : -3.00689
381 : -2.91139
53 : -3.34436
239 : -3.04644
149 : -2.55048
209 : -2.82081
22 : -3.70762
196 : -3.48053
362 : -2.78829
177 : -2.02546
369 : -1.58122
24 : -3.52364
167 : -1.9292
70 : -14.1685
36 : -11.7381
195 : -3.43339
357 : -3.31307
322 : -3.49429
31 : -10.2141
50 : -11.89
393 : -2.68998
194 : -3.43339
47 : -11.6144
228 : -3.06398
289 : -3.18166
354 : -3.24262
131 : -5.52399
256 : -3.02746
378 : -2.98882
104 : -3.68501
229 : -3.06398
342 : -3.44176
332 : -3.5245
114 : -6.33185
147 : -2.72548
243 : -3.64465
358 : -3.33359
150 : -2.2374
56 : -4.07489
135 : -8.2563
122 : -2.17214
126 : -1.7197
35 : -11.8291
141 : -2.55802
295 : -3.30609
263 : -3.02678
107 : -2.32517
7 : -5.3112
64 : -3.54484
160 : -2.08037
189 : -1.82094
273 : -2.74832
161 : -1.96333
227 : -3.05305
271 : -2.72463
262 : -3.08542
127 : -1.75243
399 : -2.35902
38 : -12.5431
290 : -3.27554
192 : -3.40076
363 : -2.81589
373 : -2.87298
29 : -4.19165
391 : -2.73777
164 : -1.95715
26 : -3.77464
245 : -3.67626
