461 : -5.24746
689 : -3.01826
84 : -2.86524
122 : -17.6329
623 : -2.31255
374 : -2.71153
896 : -2.66852
391 : -2.96023
959 : -1.23028
518 : -2.04606
103 : -2.94053
852 : -3.76601
66 : -11.9064
874 : -3.91109
568 : -2.23019
35 : -21.6665
955 : -1.15942
269 : -5.59268
24 : -13.8619
259 : -6.76159
700 : -3.01656
966 : -1.21383
199 : -11.7773
536 : -3.83366
813 : -4.95871
385 : -2.95434
865 : -3.87786
53 : -23.7545
765 : -3.01372
899 : -2.6696
409 : -6.60962
937 : -1.26682
348 : -2.73995
401 : -2.94595
759 : -2.51449
736 : -2.56407
737 : -2.5653
440 : -6.2656
85 : -2.86997
702 : -3.01656
840 : -4.29328
632 : -2.05133
354 : -2.79212
188 : -12.9502
585 : -2.10921
284 : -3.56865
75 : -3.01035
860 : -3.86242
203 : -11.5816
510 : -4.80824
421 : -6.54301
115 : -17.0242
14 : -9.92012
287 : -3.56872
480 : -10.1678
120 : -17.7528
230 : -6.30648
57 : -25.4479
173 : -17.4102
807 : -4.88431
121 : -17.692
887 : -2.68049
59 : -25.2256
911 : -4.36757
828 : -4.93435
314 : -3.75763
573 : -2.2204
165 : -17.6727
248 : -6.57885
262 : -6.41537
719 : -2.55198
973 : -1.21328
147 : -17.9252
4 : -1.38353
812 : -4.95871
638 : -3.37089
33 : -22.1891
900 : -2.66893
565 : -2.23019
11 : -2.60277
505 : -5.12418
456 : -5.08992
615 : -2.89494
770 : -3.02343
211 : -8.7733
485 : -10.0763
335 : -2.29643
933 : -1.58863
642 : -2.80176
36 : -21.7615
238 : -6.46096
523 : -1.84133
706 : -3.01656
665 : -2.92559
305 : -3.45837
683 : -2.6536
883 : -2.7022
286 : -3.56872
127 : -17.8138
830 : -4.93133
735 : -2.56403
61 : -19.6141
298 : -3.52729
801 : -4.76651
675 : -2.62817
166 : -18.0427
490 : -9.73358
190 : -13.7502
979 : -1.20268
912 : -4.3573
864 : -3.87931
764 : -2.53068
934 : -1.2665
827 : -4.94205
576 : -2.21074
158 : -17.6225
750 : -2.48534
636 : -3.37052
501 : -5.51584
2 : -1.38353
449 : -5.78426
583 : -2.12517
766 : -3.01372
460 : -5.17298
836 : -4.35752
964 : -1.21225
580 : -2.1878
208 : -11.2685
520 : -2.04606
648 : -4.3285
18 : -6.77662
656 : -3.32986
743 : -2.47735
172 : -17.4644
